"Você se considera capaz de entender informações sobre produtos financeiros, como empréstimos ou investimentos?","Com que frequência você busca informações ou tira dúvidas sobre finanças pessoais?","Que tipo de orientação financeira você gostaria de receber da cooperativa?","1. Qual é a sua idade (faixa etária) ?","2. Indique o gênero (sexo) no qual você se identifica:","3. Qual é o seu estado civil?","4. Possui dependentes?","5. Qual é o seu nível de escolaridade?","6.  Qual é a sua renda mensal individual, considerando todos os seus trabalhos e outras fontes de rendimento?","BEM_Q07","BEM_Q08","BEM_Q09","BEM_Q10","BEM_Q11","BEM_Q12","BEM_Q13","BEM_Q14","BEM_Q15","BEM_Q16","VIE_Q17","VIE_Q18","VIE_Q19","VIE_Q20","CON_Q21","CON_Q22","CON_Q23","CON_Q24","CON_Q25","COM_Q26","COM_Q27","COM_Q28","COM_Q29","COM_Q30","COM_Q31","COM_Q32","COM_Q33","COM_Q34","ATI_Q35","ATI_Q36","ATI_Q37","ATI_Q38","ATI_Q39","ATI_Q40","ATI_Q41","ATI_Q42","43. Suponha que você tenha R$ 100,00 em uma conta poupança a uma taxa de juros composto de 10% ao ano. Depois de 5 anos, qual o valor você terá na poupança? Considere que não tenha sido depositado nem retirado dinheiro.","44. Suponha que em 2027 sua renda dobrará e os preços de todos os bens também dobrarão. Em 2027, o quanto você será capaz de comprar com a sua renda?","45.Considerando-se um longo período (ex.: 10 anos), qual ativo, normalmente, oferece maior retorno?","46. Imagine que cinco amigos recebem uma doação de R$ 1.000,00 e precisam dividir o dinheiro igualmente entre eles. Quanto cada um vai ganhar?","47. Um investimento com alta taxa de retorno terá alta taxa de risco. Essa afirmação é:","48. Um empréstimo com duração de 15 anos normalmente exige pagamentos mensais maiores do que um empréstimo de 30 anos, mas o total de juros pagos ao final do empréstimo será menor. Essa afirmação é:","49. Suponha que você viu o mesmo televisor em duas lojas diferentes pelo preço inicial de R$ 1.000,00. A loja “A” oferece um desconto de R$ 150,00, enquanto a loja “B” oferece um desconto de 10%. Qual é a melhor alternativa?","50. Suponha que você realizou um empréstimo de R$ 10.000,00 para ser pago após um ano e o custo com os juros é R$ 600,00. A taxa de juros que você irá pagar nesse empréstimo é de:","score_bem_estar","score_autocontrole","score_contab","score_comport","score_ati","score_conhecimento","acerto_43","acerto_44","acerto_45","acerto_46","acerto_47","acerto_48","acerto_49","acerto_50"
"Nem concordo e nem discordo","Às vezes","Dicas de economia e controle de gastos","De 29 a 39 anos","Prefiro não responder","Solteiro (a)","Não","Pós graduação.","De 5 a 10 salários mínimos - Entre R$ 7.591,00 e R$ 15.180,00",2,2,1,1,0,0,0,0,0,4,2,4,4,4,2,2,2,3,2,2,2,2,4,4,4,4,4,4,4,4,0,2,0,2,2,2,"Exatamente R$ 150,00.","Mais do que hoje.","Ações.","1000","Falsa","Verdadeira","Comprar na loja B.","0,6% a.a.",10,14,11,30,16,4,1,0,1,0,0,1,0,1
"Discordo","Raramente","Dicas de economia e controle de gastos","De 40 a 50 anos","Feminino","Casado (a)","Sim","Ensino superior completo","De 2 a 3 salários mínimos – Entre R$ 3.036,01 e R$ 4.554,00.",4,4,0,4,4,4,2,2,1,4,3,3,1,2,3,3,3,3,0,4,3,2,4,2,4,2,3,2,4,4,0,3,1,1,1,2,"Mais do que R$ 150,00.","Mais do que hoje.","Ações.","200","Não sabe","Não sabe","Comprar na loja A.","3% a.a.",29,9,12,26,16,4,1,0,1,1,0,0,1,0
"Concordo totalmente","Frequentemente","Orientação para organização do orçamento","De 29 a 39 anos","Masculino","Solteiro (a)","Não","Pós graduação.","De 3 a 5 salários mínimos – Entre R$ 4.555,00 e R$ 7.590,00",4,3,2,2,2,3,3,4,2,2,2,1,3,2,2,3,3,3,1,4,3,3,3,3,2,NA,NA,NA,3,3,1,1,1,1,2,3,"Mais do que R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",27,8,12,18,15,8,1,1,1,1,1,1,1,1
"Concordo","Às vezes","Orientação para organização do orçamento","De 29 a 39 anos","Masculino","Casado (a)","Sim","Pós graduação.","De 5 a 10 salários mínimos - Entre R$ 7.591,00 e R$ 15.180,00",2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Exatamente R$ 150,00.","Exatamente o mesmo.","Não sabe.","5000","Verdadeira","Falsa","Comprar na loja A.","6% a.a.",20,12,11,18,16,5,1,1,0,0,1,0,1,1
"Concordo totalmente","Às vezes","Planejamento para aposentadoria","De 18 a 28 anos","Masculino","Solteiro (a)","Não","Ensino superior completo","De 2 a 3 salários mínimos – Entre R$ 3.036,01 e R$ 4.554,00.",1,0,2,0,1,1,1,0,0,1,2,4,3,3,2,4,3,4,4,3,2,4,4,3,4,4,4,4,4,4,3,4,1,4,3,2,"Mais do que R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",7,12,17,32,25,8,1,1,1,1,1,1,1,1
"Concordo","Sempre","Dicas de economia e controle de gastos","De 18 a 28 anos","Feminino","Solteiro (a)","Não","Ensino superior completo","De 3 a 5 salários mínimos – Entre R$ 4.555,00 e R$ 7.590,00",1,1,1,1,0,2,2,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,1,3,3,3,"Mais do que R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",17,16,20,34,24,8,1,1,1,1,1,1,1,1
"Nem concordo e nem discordo","Às vezes","Orientação para organização do orçamento","De 29 a 39 anos","Feminino","Casado (a)","Sim","Ensino superior completo","De 2 a 3 salários mínimos – Entre R$ 3.036,01 e R$ 4.554,00.",2,3,2,2,2,2,0,4,4,2,2,3,1,3,3,3,3,3,2,0,NA,0,4,4,3,2,NA,NA,2,2,1,2,2,2,2,2,"Mais do que R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","3% a.a.",23,9,14,13,15,7,1,1,1,1,1,1,1,0
"Concordo totalmente","Sempre","Planejamento para aposentadoria","De 18 a 28 anos","Masculino","Solteiro (a)","Não","Pós graduação.","De 5 a 10 salários mínimos - Entre R$ 7.591,00 e R$ 15.180,00",1,1,1,1,1,2,1,1,0,3,3,3,3,3,3,3,3,2,3,2,4,3,4,4,4,4,4,4,3,3,1,1,1,3,2,2,"Mais do que R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",12,12,14,33,16,8,1,1,1,1,1,1,1,1
"Discordo totalmente","Frequentemente","Dicas de economia e controle de gastos","De 29 a 39 anos","Masculino","Casado (a)","Não","Ensino superior completo","De 3 a 5 salários mínimos – Entre R$ 4.555,00 e R$ 7.590,00",2,2,2,1,2,2,1,2,0,2,3,2,3,3,3,1,2,3,3,0,3,NA,4,4,2,NA,NA,NA,3,3,3,3,1,3,3,3,"Mais do que R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",16,11,12,13,22,8,1,1,1,1,1,1,1,1
"Concordo","Frequentemente","Dicas de economia e controle de gastos","De 18 a 28 anos","Masculino","Solteiro (a)","Não","Ensino superior incompleto","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",3,2,1,1,1,2,4,1,0,2,2,1,1,3,4,3,4,2,2,2,4,NA,4,4,4,2,NA,2,4,4,4,4,0,3,0,2,"Exatamente R$ 150,00.","Menos do que hoje.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",17,7,15,22,21,7,1,0,1,1,1,1,1,1
"Concordo","Frequentemente","Dicas de economia e controle de gastos","De 29 a 39 anos","Feminino","Solteiro (a)","Não","Pós graduação.","De 3 a 5 salários mínimos – Entre R$ 4.555,00 e R$ 7.590,00",2,3,2,3,2,4,2,2,0,2,3,2,3,3,4,4,3,2,3,3,3,4,4,3,2,2,0,NA,3,3,3,3,1,3,1,2,"Menos do que R$ 150,00.","Mais do que hoje.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",22,11,16,21,19,7,1,0,1,1,1,1,1,1
"Concordo totalmente","Frequentemente","Dicas de economia e controle de gastos","De 29 a 39 anos","Feminino","Solteiro (a)","Sim","Pós graduação.","De 3 a 5 salários mínimos – Entre R$ 4.555,00 e R$ 7.590,00",3,2,2,2,3,3,2,2,0,2,1,1,1,3,1,1,1,1,2,NA,NA,NA,4,4,2,NA,NA,2,3,3,3,2,1,1,2,2,"Menos do que R$ 150,00.","Mais do que hoje.","Ações.","1000","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",21,6,6,12,17,6,1,0,1,0,1,1,1,1
"Concordo totalmente","Às vezes","Informações sobre investimentos","De 29 a 39 anos","Masculino","Solteiro (a)","Sim","Especialização, mestrado ou doutorado.","Mais de 10 salários mínimos - Acima de R$ 15.181,00",1,1,0,1,0,1,1,0,0,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,"Mais do que R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",7,16,20,34,30,8,1,1,1,1,1,1,1,1
"Concordo","Às vezes","Dicas de economia e controle de gastos","De 29 a 39 anos","Feminino","Outros","Não","Ensino superior completo","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",3,4,3,2,0,2,1,2,0,1,3,3,3,2,3,2,3,2,1,2,4,NA,4,2,2,2,NA,NA,4,3,2,2,1,2,2,1,"Mais do que R$ 150,00.","Mais do que hoje.","Poupança.","1000","Verdadeira","Verdadeira","Comprar na loja B.","6% a.a.",18,11,11,16,17,4,1,0,0,0,1,1,0,1
"Concordo","Frequentemente","Informações sobre investimentos","De 29 a 39 anos","Feminino","Solteiro (a)","Não","Pós graduação.","De 3 a 5 salários mínimos – Entre R$ 4.555,00 e R$ 7.590,00",2,2,2,1,1,2,1,1,1,2,3,3,3,3,3,3,3,2,3,2,3,3,4,4,3,4,3,3,3,3,3,3,2,3,2,3,"Não sabe.","Não sabe.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","3% a.a.",15,12,14,29,22,5,0,0,1,1,1,1,1,0
"Concordo","Raramente","Informações sobre investimentos","De 29 a 39 anos","Masculino","Solteiro (a)","Não","Ensino superior completo","De 2 a 3 salários mínimos – Entre R$ 3.036,01 e R$ 4.554,00.",2,3,2,2,2,2,0,2,3,2,3,3,3,2,1,2,2,2,2,0,4,0,4,4,3,2,2,0,3,3,2,2,2,1,3,3,"Mais do que R$ 150,00.","Menos do que hoje.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",20,11,9,19,19,7,1,0,1,1,1,1,1,1
"Concordo totalmente","Frequentemente","Informações sobre investimentos","De 29 a 39 anos","Masculino","Solteiro (a)","Sim","Ensino superior completo","De 5 a 10 salários mínimos - Entre R$ 7.591,00 e R$ 15.180,00",2,2,0,1,0,2,0,2,2,2,2,2,2,1,3,1,2,3,2,0,NA,2,4,2,NA,2,2,2,3,3,3,2,2,1,3,2,"Mais do que R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",13,7,11,14,19,8,1,1,1,1,1,1,1,1
"Concordo","Às vezes","Dicas de economia e controle de gastos","De 18 a 28 anos","Masculino","Solteiro (a)","Não","Ensino superior incompleto","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",2,2,0,2,2,1,2,2,1,2,3,1,3,3,3,3,3,1,2,NA,NA,NA,4,3,3,3,NA,2,4,2,2,0,0,2,2,2,"Mais do que R$ 150,00.","Mais do que hoje.","Ações.","1000","Verdadeira","Falsa","Comprar na loja A.","6% a.a.",16,10,12,15,14,5,1,0,1,0,1,0,1,1
"Nem concordo e nem discordo","Às vezes","Orientação para organização do orçamento","De 29 a 39 anos","Feminino","Solteiro (a)","Não","Ensino superior completo","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",4,3,4,3,2,4,2,3,0,3,1,1,1,2,4,4,4,4,2,4,2,3,4,3,2,NA,NA,NA,4,4,3,4,1,4,4,3,"Exatamente R$ 150,00.","Menos do que hoje.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",28,5,18,18,27,7,1,0,1,1,1,1,1,1
"Concordo totalmente","Sempre","Orientação sobre crédito e empréstimos","De 18 a 28 anos","Masculino","Solteiro (a)","Não","Pós graduação.","De 5 a 10 salários mínimos - Entre R$ 7.591,00 e R$ 15.180,00",1,1,1,1,0,1,0,1,0,3,3,3,3,3,3,2,3,2,3,0,0,3,4,4,4,4,4,4,3,3,2,3,2,2,3,1,"Mais do que R$ 150,00.","Menos do que hoje.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",9,12,13,27,19,7,1,0,1,1,1,1,1,1
"Concordo","Às vezes","Dicas de economia e controle de gastos","De 18 a 28 anos","Feminino","Solteiro (a)","Não","Ensino superior incompleto","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",4,3,1,3,4,4,3,4,3,4,1,1,0,1,3,4,4,1,0,4,NA,2,3,NA,NA,NA,NA,NA,4,4,3,4,0,0,0,4,"Exatamente R$ 150,00.","Menos do que hoje.","Ações.","200","Não sabe","Não sabe","Não sabe.","6% a.a.",33,3,12,9,19,4,1,0,1,1,0,0,0,1
"Concordo","Frequentemente","Dicas de economia e controle de gastos","De 29 a 39 anos","Masculino","Casado (a)","Sim","Ensino superior completo","De 2 a 3 salários mínimos – Entre R$ 3.036,01 e R$ 4.554,00.",2,2,2,2,2,2,1,2,0,2,2,1,1,1,4,1,2,2,2,NA,3,2,4,4,2,2,2,3,4,4,2,3,2,3,2,2,"Mais do que R$ 150,00.","Mais do que hoje.","Ações.","200","Verdadeira","Falsa","Comprar na loja A.","6% a.a.",17,5,11,22,22,6,1,0,1,1,1,0,1,1
"Concordo totalmente","Raramente","Informações sobre investimentos","De 18 a 28 anos","Masculino","Solteiro (a)","Não","Ensino superior completo","De 2 a 3 salários mínimos – Entre R$ 3.036,01 e R$ 4.554,00.",3,4,1,1,3,2,1,1,0,2,1,2,2,4,2,1,4,1,2,0,3,2,4,4,2,2,3,NA,4,4,4,2,0,2,2,2,"Mais do que R$ 150,00.","Não sabe.","Não sabe.","200","Verdadeira","Verdadeira","Comprar na loja B.","6% a.a.",18,9,10,20,20,5,1,0,0,1,1,1,0,1
